ttr_score,hapax_ratio,zipf_alpha,lora_r,learning_rate,dropout,val_loss
0.419,0.14,1.032,16,0.000649,0.184,1.8298
0.544,0.402,1.463,32,0.000592,0.214,1.2512
0.336,0.4,1.724,32,0.000162,0.188,0.9572
0.16,0.524,1.301,16,1.1e-05,0.051,4.0
0.457,0.547,1.463,32,0.000782,0.037,1.6458
0.48,0.537,1.219,32,8.6e-05,0.187,1.2384
0.381,0.346,1.773,32,9.5e-05,0.274,0.9915
0.485,0.479,1.061,8,0.000351,0.289,2.2123
0.347,0.446,1.705,16,0.000169,0.299,1.1236
0.361,0.353,1.379,64,1.7e-05,0.253,4.0
0.314,0.458,1.042,4,1.6e-05,0.109,4.0
0.113,0.668,1.853,16,3.2e-05,0.184,4.0
0.154,0.216,1.488,16,1.4e-05,0.183,4.0
0.116,0.643,1.599,8,0.000463,0.161,1.1478
0.418,0.132,1.732,8,1.2e-05,0.223,4.0
0.257,0.285,1.655,32,0.00078,0.051,1.4832
0.354,0.273,1.731,8,1.7e-05,0.057,4.0
0.554,0.476,1.762,64,0.000519,0.283,1.6307
0.225,0.179,1.589,64,3e-05,0.252,4.0
0.305,0.629,1.366,32,0.00021,0.246,1.0522
0.478,0.597,1.243,8,4.8e-05,0.145,1.3063
0.214,0.491,1.903,32,1.4e-05,0.17,4.0
0.138,0.375,1.97,4,0.000289,0.187,0.5408
0.245,0.66,1.358,8,0.000413,0.088,2.0115
0.181,0.598,1.112,8,4e-05,0.088,4.0
0.565,0.4,1.223,8,0.000371,0.054,1.8823
0.504,0.521,1.671,8,8.2e-05,0.168,1.3582
0.417,0.44,1.173,64,0.000288,0.049,1.9344
0.536,0.453,1.78,32,0.000195,0.06,1.8942
0.502,0.299,1.923,64,0.000724,0.271,1.9384
0.193,0.377,1.964,32,4.5e-05,0.158,4.0
0.546,0.147,1.009,4,1.7e-05,0.186,4.0
0.37,0.314,1.958,8,0.000377,0.04,1.5136
0.504,0.517,1.74,16,0.000422,0.062,1.5752
0.548,0.672,1.084,64,1.1e-05,0.029,4.0
0.259,0.678,1.415,16,1.8e-05,0.081,4.0
0.155,0.433,1.7,4,0.000462,0.264,1.2646
0.214,0.464,1.957,16,0.000159,0.267,0.6064
0.314,0.211,1.164,4,8e-05,0.202,1.5558
0.509,0.517,1.128,64,0.00045,0.263,1.5223
0.53,0.142,1.472,4,3.1e-05,0.057,1.4573
0.103,0.271,1.968,64,4.5e-05,0.044,4.0
0.355,0.501,1.971,64,0.000352,0.23,2.1265
0.309,0.286,1.228,16,0.000152,0.297,1.5869
0.211,0.13,1.319,32,2.6e-05,0.215,4.0
0.16,0.599,1.908,32,0.000614,0.011,1.9503
0.269,0.286,1.735,32,0.000974,0.055,1.4054
0.571,0.138,1.972,8,1.9e-05,0.074,1.6693
0.262,0.145,1.893,16,3.9e-05,0.127,4.0
0.359,0.251,1.215,4,0.000315,0.066,1.8393
0.452,0.207,1.76,32,1.8e-05,0.018,4.0
0.282,0.565,1.049,16,8.5e-05,0.077,1.8328
0.586,0.293,1.818,8,2.7e-05,0.105,0.9908
0.581,0.583,1.602,16,0.000213,0.085,2.0088
0.226,0.204,1.956,4,5.2e-05,0.008,4.0
0.349,0.396,1.96,32,0.000497,0.278,1.7688
0.25,0.513,1.051,4,8.3e-05,0.162,2.5276
0.242,0.491,1.161,8,0.000118,0.255,1.2873
0.118,0.461,1.484,4,0.0006,0.005,1.7577
0.405,0.655,1.879,8,0.000344,0.239,1.4794
0.351,0.237,1.814,4,0.000415,0.211,1.6723
0.126,0.396,1.964,8,1.1e-05,0.293,4.0
0.239,0.63,1.618,16,0.000206,0.034,1.4433
0.554,0.147,1.257,16,8.5e-05,0.193,1.8828
0.22,0.134,1.025,16,0.000585,0.006,1.795
0.172,0.24,1.223,16,1.2e-05,0.107,4.0
0.345,0.48,1.675,4,0.000489,0.191,1.7472
0.593,0.256,1.926,64,1.9e-05,0.28,2.3542
0.221,0.214,1.321,8,0.000153,0.025,1.116
0.436,0.375,1.876,8,0.000284,0.147,1.4265
0.481,0.468,1.395,64,2.5e-05,0.072,2.8372
0.219,0.249,1.308,8,2.2e-05,0.065,4.0
0.464,0.28,1.509,8,0.000232,0.206,2.0085
0.284,0.468,1.442,16,2.2e-05,0.008,4.0
0.416,0.667,1.914,8,0.000106,0.19,0.8448
0.417,0.505,1.468,8,3.3e-05,0.049,2.962
0.368,0.57,1.277,32,1.2e-05,0.004,4.0
0.145,0.32,1.843,8,1.4e-05,0.163,4.0
0.518,0.263,1.999,64,1.8e-05,0.034,4.0
0.26,0.373,1.648,8,0.000123,0.168,0.9383
0.193,0.584,1.25,64,2.6e-05,0.084,4.0
0.12,0.374,1.239,8,0.0005,0.084,1.3064
0.395,0.608,1.058,64,1.1e-05,0.242,4.0
0.439,0.693,1.077,8,0.000208,0.214,1.9462
0.108,0.143,1.915,8,1.5e-05,0.248,4.0
0.356,0.127,1.096,32,0.000604,0.127,1.8374
0.213,0.19,1.484,32,1.2e-05,0.034,4.0
0.423,0.331,1.698,8,1.9e-05,0.229,4.0
0.187,0.179,1.85,32,3.6e-05,0.26,4.0
0.445,0.622,1.171,4,1.6e-05,0.176,4.0
0.293,0.114,1.438,4,0.000665,0.066,1.74
0.568,0.289,1.251,16,1.8e-05,0.23,2.5178
0.169,0.211,1.256,16,1.5e-05,0.013,4.0
0.271,0.659,1.304,4,1.3e-05,0.103,4.0
0.157,0.502,1.587,16,0.000409,0.117,1.0728
0.562,0.647,1.017,8,0.000199,0.099,2.6431
0.539,0.683,1.409,8,0.000326,0.283,1.8755
0.229,0.398,1.187,16,0.000257,0.25,1.3417
0.43,0.241,1.967,4,0.000863,0.159,1.094
0.509,0.216,1.583,64,0.000344,0.281,2.2045
0.378,0.234,1.868,8,5.8e-05,0.047,1.0841
0.365,0.525,1.196,32,3.8e-05,0.029,3.4952
0.221,0.124,1.81,64,3.8e-05,0.115,4.0
0.147,0.131,1.415,32,4.2e-05,0.297,4.0
0.549,0.465,1.178,8,2.4e-05,0.271,1.8625
0.55,0.485,1.761,16,6.1e-05,0.067,1.2545
0.417,0.499,1.762,32,1.7e-05,0.279,4.0
0.27,0.323,1.996,4,3.9e-05,0.189,4.0
0.275,0.584,1.781,32,2.2e-05,0.093,4.0
0.463,0.42,1.145,4,0.000691,0.245,1.7614
0.549,0.163,1.323,64,8.4e-05,0.257,1.9884
0.544,0.578,1.452,64,0.000442,0.0,2.4552
0.49,0.672,1.127,16,0.00015,0.04,2.5361
0.421,0.136,1.788,4,0.000157,0.225,1.637
0.142,0.335,1.527,16,1e-05,0.184,4.0
0.181,0.393,1.944,32,1.1e-05,0.078,4.0
0.549,0.188,1.589,16,3.6e-05,0.082,1.0426
0.403,0.621,1.523,32,1.3e-05,0.033,4.0
0.105,0.27,1.071,64,3.6e-05,0.128,4.0
0.151,0.57,1.149,16,0.000172,0.018,1.9159
0.432,0.503,1.85,64,0.000262,0.205,1.8144
0.103,0.459,1.991,32,0.000168,0.074,1.705
0.18,0.215,1.415,4,0.000128,0.264,1.853
0.374,0.232,1.81,8,1.5e-05,0.028,4.0
0.446,0.128,1.628,32,1.8e-05,0.208,4.0
0.426,0.244,1.959,32,1.2e-05,0.261,4.0
0.212,0.307,1.238,8,0.000422,0.211,1.5245
0.456,0.6,1.545,8,4.4e-05,0.278,1.4155
0.219,0.32,1.409,64,6.4e-05,0.099,3.887
0.263,0.553,1.542,32,0.000177,0.041,1.1045
0.473,0.364,1.269,32,0.000867,0.105,1.4622
0.425,0.571,1.498,16,0.00017,0.179,1.6077
0.525,0.686,1.625,8,1.7e-05,0.284,3.4645
0.429,0.244,1.081,4,0.000639,0.089,2.1189
0.384,0.617,1.743,32,2.9e-05,0.206,3.8332
0.147,0.473,1.707,16,0.000381,0.03,1.1853
0.284,0.59,1.88,4,0.000313,0.08,1.507
0.233,0.491,1.426,64,6.8e-05,0.048,3.4252
0.222,0.354,1.062,16,0.000111,0.144,1.5068
0.587,0.237,1.461,4,2.9e-05,0.281,1.7222
0.297,0.142,1.138,32,0.000254,0.275,1.9196
0.546,0.421,1.647,16,0.000909,0.128,1.6365
0.416,0.694,1.047,8,7.2e-05,0.257,1.3474
0.497,0.543,1.374,4,0.00099,0.129,1.8214
0.351,0.296,1.083,32,3.2e-05,0.123,4.0
0.388,0.596,1.003,16,1.7e-05,0.265,4.0
0.346,0.561,1.961,4,0.000993,0.009,1.7435
0.198,0.269,1.996,64,5.7e-05,0.264,4.0
0.461,0.109,1.556,64,0.000523,0.25,2.0759
0.24,0.171,1.239,8,1.1e-05,0.06,4.0
0.112,0.626,1.911,16,0.00018,0.122,1.1676
0.423,0.602,1.923,16,1e-05,0.255,4.0
0.189,0.277,1.855,8,0.000102,0.167,1.7534
0.57,0.271,1.544,16,0.000297,0.219,1.8182
0.577,0.576,1.075,64,0.000175,0.047,2.1778
0.557,0.663,1.088,64,0.00018,0.142,1.8985
0.285,0.567,1.897,8,4.5e-05,0.153,3.9451
0.108,0.463,1.876,32,0.000185,0.028,1.4982
0.564,0.246,1.434,8,0.000512,0.097,1.664
0.314,0.415,1.328,64,9.8e-05,0.22,1.1317
0.583,0.24,1.644,8,0.000121,0.051,1.9593
0.582,0.585,1.807,64,0.000475,0.186,1.5462
0.527,0.332,1.732,32,1.8e-05,0.022,3.0892
0.247,0.6,1.616,64,0.000159,0.023,1.6282
0.293,0.329,1.232,16,8.9e-05,0.208,1.4285
0.526,0.594,1.263,4,6.8e-05,0.298,1.4986
0.258,0.3,1.724,32,6.5e-05,0.109,2.3999
0.185,0.364,1.803,4,0.000184,0.185,0.7822
0.378,0.469,1.116,32,0.000624,0.186,1.7588
0.568,0.142,1.187,32,0.0002,0.053,1.9082
0.448,0.669,1.68,32,3.4e-05,0.282,1.5802
0.385,0.444,1.389,32,1.9e-05,0.158,4.0
0.149,0.405,1.563,64,0.000905,0.117,1.652
0.408,0.604,1.615,16,4.1e-05,0.04,2.2368
0.595,0.619,1.776,64,8.6e-05,0.169,1.8513
0.17,0.413,1.806,64,1.1e-05,0.271,4.0
0.359,0.656,1.28,16,0.000419,0.153,2.0381
0.539,0.139,1.541,32,0.000386,0.037,1.3924
0.47,0.168,1.124,16,0.000245,0.083,1.9832
0.449,0.458,1.842,4,5.2e-05,0.296,1.0722
0.451,0.312,1.845,16,5.6e-05,0.12,0.7351
0.28,0.379,1.3,64,9.8e-05,0.296,1.4037
0.247,0.297,1.161,32,6.4e-05,0.164,3.0324
0.505,0.343,1.07,64,2.2e-05,0.213,2.4827
0.505,0.594,1.575,4,2.9e-05,0.066,2.1465
0.534,0.456,1.091,32,4.6e-05,0.296,1.3963
0.557,0.698,1.681,8,1.1e-05,0.003,4.0
0.356,0.572,1.678,64,4.8e-05,0.257,2.129
0.351,0.264,1.614,64,0.000439,0.207,1.9223
0.499,0.259,1.877,16,8.7e-05,0.198,1.0398
0.425,0.302,1.378,32,2.4e-05,0.095,4.0
0.451,0.606,1.902,64,0.000245,0.056,2.4174
0.498,0.116,1.037,4,1.1e-05,0.187,4.0
0.545,0.238,1.113,32,2e-05,0.275,2.7871
0.269,0.643,1.412,32,0.000146,0.075,1.0909
0.288,0.484,1.594,16,0.000221,0.242,1.0779
0.147,0.236,1.032,64,3.9e-05,0.027,4.0
0.389,0.231,1.567,64,3.6e-05,0.073,2.8262
0.118,0.618,1.307,8,1.1e-05,0.017,4.0
0.333,0.636,1.887,8,3.7e-05,0.115,3.9695
0.371,0.254,1.533,32,0.000829,0.209,1.2991
0.243,0.352,1.588,64,6.2e-05,0.149,3.3306
0.395,0.601,1.946,16,4.5e-05,0.161,1.4295
0.115,0.563,1.764,64,0.000179,0.172,1.3187
0.119,0.588,1.438,16,0.000951,0.067,1.9576
0.511,0.411,1.477,8,7.5e-05,0.1,1.5101
0.28,0.647,1.648,4,1.5e-05,0.136,4.0
0.164,0.296,1.2,64,0.000272,0.172,0.8112
0.361,0.194,1.089,8,0.000624,0.254,2.2655
0.485,0.525,1.311,4,0.000229,0.139,2.014
0.208,0.424,1.778,4,9.9e-05,0.231,1.7468
0.411,0.613,1.257,8,3.1e-05,0.035,3.7024
0.143,0.149,1.131,8,7.8e-05,0.039,4.0
0.126,0.606,1.219,8,7e-05,0.086,4.0
0.366,0.276,1.679,16,0.000842,0.095,1.2625
0.37,0.493,1.614,32,1.2e-05,0.188,4.0
0.419,0.124,1.688,32,5.4e-05,0.066,0.8766
0.463,0.466,1.322,32,4.2e-05,0.042,1.5029
0.588,0.53,1.901,16,0.000921,0.194,1.8753
0.358,0.321,1.452,8,1e-05,0.299,4.0
0.261,0.229,1.514,32,3.8e-05,0.298,4.0
0.498,0.423,1.949,16,0.000886,0.277,1.2223
0.235,0.6,1.979,16,2.1e-05,0.019,4.0
0.319,0.294,1.662,8,0.000379,0.229,1.7801
0.139,0.251,1.945,4,0.000134,0.115,1.5137
0.113,0.267,1.542,16,0.000648,0.247,1.3895
0.581,0.669,1.307,64,0.000557,0.015,2.4115
0.518,0.316,1.315,16,0.000142,0.251,2.1086
0.448,0.102,1.559,4,0.000128,0.186,1.6974
0.304,0.569,1.605,4,2e-05,0.024,4.0
0.187,0.52,1.44,64,1.3e-05,0.288,4.0
0.178,0.177,1.884,32,0.000291,0.262,1.1163
0.225,0.691,1.427,16,0.000168,0.207,1.0462
0.375,0.465,1.273,8,0.00039,0.111,1.9462
0.457,0.4,1.008,8,1.1e-05,0.153,4.0
0.43,0.329,1.971,64,0.000737,0.008,2.2341
0.24,0.639,1.824,4,1.4e-05,0.202,4.0
0.577,0.246,1.616,32,0.000645,0.287,1.7463
0.469,0.271,1.831,16,2.4e-05,0.066,2.6885
0.377,0.173,1.81,16,3.3e-05,0.122,3.0833
0.406,0.555,1.932,16,0.000554,0.259,1.2782
0.31,0.457,1.386,8,8e-05,0.02,1.7815
0.224,0.465,1.555,32,0.000245,0.096,0.7958
0.278,0.231,1.099,64,0.000631,0.282,1.9613
0.479,0.491,1.965,8,3.8e-05,0.231,1.0119
0.107,0.559,1.985,4,1.9e-05,0.024,4.0
0.158,0.315,1.789,32,0.00012,0.139,1.6833
0.123,0.581,1.454,4,6e-05,0.154,4.0
0.12,0.309,1.497,16,0.000396,0.222,0.9709
0.528,0.555,1.435,8,1e-05,0.064,4.0
0.452,0.12,1.293,32,0.000145,0.071,1.5072
0.337,0.431,1.528,8,0.000108,0.256,1.1968
0.149,0.682,1.053,32,0.000501,0.067,1.9136
0.346,0.689,1.992,16,0.000142,0.134,0.9008
0.337,0.269,1.424,32,0.00098,0.209,1.3327
0.187,0.365,1.927,16,1.1e-05,0.157,4.0
0.317,0.138,1.724,8,0.000102,0.275,1.3618
0.299,0.624,1.29,8,0.000895,0.153,1.8024
0.408,0.441,1.222,8,0.000778,0.062,1.7564
0.418,0.331,1.996,16,2.7e-05,0.249,3.3985
0.123,0.168,1.772,4,0.000451,0.234,1.2328
0.287,0.668,1.25,4,0.000408,0.061,2.1999
0.413,0.418,1.067,32,0.000841,0.231,1.6381
0.352,0.27,1.697,8,0.000104,0.097,0.9051
0.528,0.31,1.303,4,0.000114,0.17,1.7511
0.429,0.262,1.221,64,0.000374,0.291,2.1415
0.181,0.461,1.735,8,0.000995,0.013,1.887
0.135,0.658,1.679,64,4.2e-05,0.051,4.0
0.421,0.614,1.481,4,0.000233,0.182,1.8681
0.113,0.376,1.943,16,0.00022,0.015,0.8614
0.393,0.596,1.68,64,0.000518,0.033,2.2852
0.57,0.354,1.893,64,0.000199,0.184,2.0199
0.388,0.251,1.191,8,8.2e-05,0.252,1.3868
0.294,0.69,1.297,32,4.2e-05,0.164,4.0
0.422,0.282,1.105,16,0.000868,0.056,1.6291
0.329,0.294,1.305,8,4.7e-05,0.039,2.9434
0.373,0.694,1.972,8,3.2e-05,0.246,3.3756
0.571,0.18,1.963,4,0.000385,0.271,1.6556
0.293,0.556,1.76,32,9.9e-05,0.226,0.7953
0.581,0.661,1.521,32,2.3e-05,0.066,1.7301
0.553,0.407,1.781,16,5.2e-05,0.106,0.9565
0.198,0.102,1.553,16,2.6e-05,0.129,4.0
0.135,0.325,1.004,32,2.6e-05,0.037,4.0
0.15,0.167,1.502,64,1.4e-05,0.076,4.0
0.109,0.35,1.599,64,0.000195,0.218,1.3052
0.147,0.574,1.266,8,5.5e-05,0.235,4.0
0.442,0.363,1.203,32,1.3e-05,0.055,4.0
0.136,0.359,1.274,8,0.0002,0.098,1.1484
0.259,0.434,1.624,64,3.9e-05,0.148,4.0
0.522,0.449,1.146,16,2.1e-05,0.053,2.8821
0.112,0.614,1.72,32,0.000833,0.259,1.1469
0.507,0.285,1.423,4,1.4e-05,0.091,4.0
0.241,0.593,1.353,8,5.9e-05,0.074,4.0
0.159,0.44,1.807,32,0.00017,0.268,0.9894
0.448,0.28,1.506,4,0.00097,0.202,1.5392
0.414,0.277,1.378,8,1.5e-05,0.154,4.0
0.539,0.317,1.878,64,0.00073,0.032,1.8048
0.468,0.474,1.368,8,0.000578,0.044,2.0249
0.502,0.238,1.859,16,0.000362,0.067,1.4276
0.241,0.652,1.504,8,1.6e-05,0.066,4.0
0.189,0.445,1.208,8,3.8e-05,0.266,4.0
0.475,0.652,1.613,32,3.5e-05,0.283,1.1997
0.503,0.128,1.285,32,0.000117,0.125,1.5354
0.595,0.306,1.147,64,1.7e-05,0.06,2.0152
0.306,0.114,1.087,16,0.000429,0.082,1.7887
0.286,0.263,1.242,16,0.000231,0.007,1.5811
0.488,0.617,1.737,64,0.000527,0.065,2.024
0.27,0.122,1.838,4,2.8e-05,0.005,4.0
0.565,0.362,1.862,8,0.000174,0.289,1.787
0.529,0.171,1.27,32,0.000503,0.187,1.5441
0.314,0.35,1.661,64,1.3e-05,0.202,4.0
0.475,0.603,1.23,64,0.000126,0.025,2.177
0.477,0.474,1.623,32,0.000285,0.138,1.5899
0.152,0.542,1.887,32,5.5e-05,0.13,4.0
0.551,0.309,1.041,4,5.1e-05,0.251,2.2024
0.353,0.667,1.985,16,1.2e-05,0.234,4.0
0.513,0.526,1.827,32,9.5e-05,0.125,1.3688
0.26,0.353,1.762,64,0.000156,0.218,0.9691
0.548,0.356,1.691,8,0.000303,0.026,1.9391
0.295,0.651,1.77,4,1.5e-05,0.076,4.0
0.105,0.446,1.995,8,6.8e-05,0.051,4.0
0.553,0.524,1.77,8,3.3e-05,0.218,1.0503
0.146,0.35,1.352,16,2.6e-05,0.265,4.0
0.26,0.234,1.614,8,3.1e-05,0.186,4.0
0.575,0.534,1.337,64,5.3e-05,0.2,1.434
0.575,0.465,1.97,64,0.000292,0.177,2.1545
0.387,0.401,1.9,32,7.4e-05,0.177,0.8515
0.416,0.474,1.568,16,1.3e-05,0.064,4.0
0.324,0.225,1.781,32,5e-05,0.006,2.4546
0.247,0.576,1.91,8,1.7e-05,0.058,4.0
0.264,0.669,1.244,64,2.7e-05,0.096,4.0
0.436,0.635,1.579,32,1.8e-05,0.12,4.0
0.476,0.293,1.482,64,0.000879,0.216,1.6561
0.496,0.344,1.772,32,0.000576,0.005,1.5731
0.495,0.585,1.379,4,0.000178,0.174,1.988
0.146,0.457,1.709,16,3.2e-05,0.088,4.0
0.347,0.429,1.403,32,2.2e-05,0.054,4.0
0.129,0.656,1.111,8,0.000483,0.085,1.6797
0.375,0.422,1.107,64,1.4e-05,0.11,4.0
0.321,0.409,1.119,64,0.000243,0.255,1.3534
0.544,0.125,1.033,16,3.9e-05,0.075,1.2856
0.275,0.142,1.533,16,9.5e-05,0.158,1.1565
0.159,0.104,1.672,4,0.000287,0.221,1.1671
0.171,0.648,1.127,32,1.2e-05,0.278,4.0
0.481,0.345,1.612,4,2.2e-05,0.01,3.4878
0.409,0.381,1.598,32,0.000197,0.233,1.3374
0.151,0.607,1.147,32,0.000691,0.074,1.9002
0.142,0.466,1.404,16,3.3e-05,0.252,4.0
0.45,0.466,1.755,16,2e-05,0.044,4.0
0.136,0.278,1.017,32,0.000707,0.201,1.7057
0.511,0.6,1.147,16,0.000538,0.222,1.6757
0.453,0.199,1.996,32,0.00066,0.156,1.3698
0.141,0.132,1.734,16,1.8e-05,0.103,4.0
0.142,0.215,1.464,8,0.000703,0.047,1.6232
0.593,0.261,1.63,32,0.000145,0.031,1.73
0.287,0.269,1.846,64,0.000216,0.227,1.2802
0.285,0.502,1.842,8,8.1e-05,0.018,1.6685
0.506,0.231,1.325,4,5.1e-05,0.175,1.2164
0.574,0.506,1.491,16,1.7e-05,0.009,2.8637
0.593,0.155,1.638,4,2.8e-05,0.138,1.2902
0.477,0.188,1.072,64,0.00015,0.042,1.5734
0.288,0.405,1.946,16,4.3e-05,0.195,4.0
0.142,0.653,1.433,4,1.7e-05,0.074,4.0
0.489,0.616,1.371,8,0.000263,0.105,2.2545
0.379,0.681,1.907,4,0.000114,0.228,0.805
0.312,0.49,1.118,16,1.2e-05,0.181,4.0
0.553,0.505,1.039,8,0.000221,0.217,2.1861
0.156,0.475,1.685,64,0.000528,0.209,1.3062
0.346,0.474,1.385,4,0.000356,0.267,1.8395
0.106,0.188,1.764,32,0.000707,0.234,1.3285
0.334,0.426,1.069,16,4.7e-05,0.219,2.7034
0.128,0.332,1.384,32,1.5e-05,0.02,4.0
0.159,0.366,1.235,32,0.000268,0.035,0.9989
0.159,0.414,1.74,4,0.000637,0.163,1.2941
0.425,0.177,1.227,32,4.3e-05,0.1,1.5056
0.473,0.316,1.458,8,3.4e-05,0.153,1.7432
0.392,0.138,1.819,64,0.000269,0.219,1.9199
0.581,0.688,1.915,64,0.000286,0.098,2.2135
0.287,0.171,1.723,32,0.000456,0.259,1.7522
0.243,0.255,1.429,16,0.00031,0.129,1.3313
0.534,0.635,1.572,32,6.3e-05,0.099,1.2546
0.212,0.39,1.69,16,7e-05,0.154,3.1678
0.582,0.181,1.875,64,0.000407,0.154,1.6756
0.106,0.331,1.889,8,3.4e-05,0.258,4.0
0.585,0.17,1.931,16,1.7e-05,0.057,1.836
0.122,0.22,1.811,64,2.7e-05,0.156,4.0
0.546,0.131,1.147,4,0.000102,0.243,2.2987
0.364,0.363,1.748,32,0.000138,0.2,0.9048
0.596,0.584,1.815,16,1.4e-05,0.167,2.5587
0.137,0.452,1.878,8,4e-05,0.255,4.0
0.377,0.464,1.925,32,0.000315,0.232,1.6927
0.585,0.22,1.509,64,0.000531,0.019,1.7442
0.362,0.306,1.655,64,1.8e-05,0.134,4.0
0.415,0.607,1.01,64,0.000109,0.211,1.0495
0.448,0.153,1.573,16,2e-05,0.192,4.0
0.327,0.615,1.473,4,0.000278,0.101,1.8738
0.414,0.39,1.962,4,2.1e-05,0.132,4.0
0.392,0.602,1.902,64,1.6e-05,0.152,4.0
0.551,0.291,1.798,32,7.6e-05,0.129,1.2841
